smiles,density,refractive_index,dielectric_const_dc,thermal_conductivity
*CC*,0.837971504,1.512318548,2.290632128,0.456184962
*C(C*)C,0.83573244,1.490928527,2.253164834,0.25877338
*C(C*)CC,0.833803273,1.475320848,2.184385706,0.264363289
*C(C*)CCC,0.82434244,1.467299555,2.16365831,0.261130695
*C(C*)C(C)C,0.809481605,1.45578207,2.138866692,0.234342233
*C(C*)CCCC,0.825542476,1.46495125,2.162925442,0.275330549
*C(C*)CC(C)C,0.822248085,1.461320799,2.156403506,0.240918065
*C(C*)CCCCC,0.826026958,1.463341848,2.162116459,0.27463839
*C(C*)CCC(CC)C,0.835027112,1.46101734,2.162659967,0.265949678
*C(C*)CCCCCCC,0.830236127,1.464325512,2.157347686,0.3025418
*C(C*)CCCCCCCC,0.830808762,1.459140147,2.142367135,0.311086292
*C(C*)(C)C,0.87060676,1.506599481,2.304667945,0.239525744
*C(C*)(CC)C,0.844525133,1.478831436,2.205070798,0.238234779
*C(CC*)(C)C,0.831834985,1.470448062,2.191077676,0.243031165
*C(C(C*)C)(C)C,0.836805812,1.464407834,2.166749933,0.236350165
*C(CCC*)(C)C,0.829420011,1.46599784,2.179656321,0.26184049
*C(CCC*)(CC)C,0.827575347,1.459990507,2.152578009,0.255337725
*C(CCCCCCC*)C,0.838285169,1.468109415,2.183088211,0.335492597
*C(C*)C1CC1,0.894720922,1.493700097,2.273769698,0.241876535
*C(C*)C1CCC1,0.890516521,1.481642147,2.208621508,0.225308463
*C(C*)C1CCCC1,0.896070041,1.481649535,2.201696428,0.231107263
*C(C*)CC1CCCC1,0.89707436,1.485024578,2.21570038,0.258406248
*C(C*)C1CCCCC1,0.852752091,1.454163567,2.117667439,0.209246003
*C(C*)CC1CCCCC1,0.876520821,1.47162608,2.173289093,0.229332958
*C(C*)Cc1ccccc1,1.008541193,1.580182329,2.530531309,0.192462189
*C(C*)CCc1ccccc1,1.000097037,1.573324969,2.510399305,0.213754837
*C(C*)C(c1ccccc1)C,0.950614435,1.53826458,2.399595153,0.185319288
*C1CC(CC1)C*,0.930004498,1.504050217,2.283450547,0.316659421
*C(C*)CCCCCC,0.829569461,1.464587839,2.156587592,0.285305157
*C(C*)CCCCCCCCCC,0.831539982,1.45915972,2.140644109,0.342728736
*C(C*)CCCCCCCCCCCC,0.83325233,1.460906779,2.145286558,0.357973495
*C(C*)CCCCCCCCCCCCCCCC,0.833313341,1.456145049,2.132970239,0.373038526
*C(C*)C(CC)C,0.810410007,1.447218134,2.104696285,0.234228593
*C(C*)C(CC)CC,0.81481654,1.445590621,2.101699679,0.243101437
*C(C*)CC(CC)CC,0.829919646,1.454165377,2.127370096,0.26234017
*C(C*)CC(CC)C,0.825624108,1.459623648,2.155603787,0.263746378
*C(C*)CC(C)(C)C,0.817611089,1.453583308,2.136077521,0.234660455
*C(C*)CC(CC)(C)C,0.836728393,1.459271904,2.148184381,0.232292247
*C(C*)CCCC(C)(C)C,0.818440434,1.452668595,2.130340994,0.257288867
*C(C*)CCC1CCCCC1,0.887375098,1.477791567,2.193542608,0.251637679
*C(C*)CCCC1CCCCC1,0.882254928,1.470894587,2.172091294,0.265537579
*C1(CCC(CC1)C)C*,0.85730737,1.448491309,2.106689695,0.21062304
*C(C*)(CCC)C,0.818195516,1.458690719,2.144239494,0.243076256
*/C=C/CC*,0.883044552,1.53710404,2.535927701,0.303711437
*/C=C\CC*,0.891055243,1.542964081,2.654721815,0.266947942
*C=CCC*,0.884263619,1.537991044,2.536145831,0.314780299
*C(C)C(C)*,0.8235685,1.468525634,2.162934881,0.264498348
*/C=C/*,0.887086616,1.575928735,2.515073042,0.23968083873457946
*C(C(CC*)C)C,0.831701925,1.464599497,2.155730697,0.254887827
*C1C(CCC1)CC*,0.906448376,1.483747114,2.20693714,0.250907231
*C=CCCCCCCCC*,0.85471523,1.480202473,2.304398369,0.343357529
*C(C*)CCCCCCCCCCCCCCCCCCCC,0.834006133,1.456269376,3.236482396,0.393169818
*/C=C/CCCCCCCCCC*,0.853346172,1.486335926,2.272885211,0.336324709
*C(C*)CCCCCCCCCCCCCC,0.832142984,1.46043879,2.150438567,0.365110117
*C=CCCCCCC*,0.857672969,1.494409143,2.344223889,0.302191029
